Student_ID,Gender,Age,Degree,CGPA,Internships_Count,Projects_Count,Certifications_Count,Technical_Skills_Score_100,Communication_Skills_Score_100,Aptitude_Test_Score_100,Placement_Offer,Salary_Offered_USD
54,Male,22,Computer Science,3.48,2.0,8.0,5,80.0,84.0,69,No,15118.06
55,Female,25,Data Science,2.04,1.0,8.0,2,60.0,74.0,76,No,7986.97
56,Male,20,Arts,3.32,2.0,3.0,5,60.0,85.0,95,No,
57,Female,29,Business,2.46,1.0,5.0,4,59.0,75.0,90,Yes,19308.35
58,Male,29,Business,3.11,2.0,1.0,3,,83.0,81,Yes,15558.83
59,Male,22,Arts,2.32,0.0,7.0,1,96.0,48.0,87,No,
60,Female,26,Business,3.45,3.0,,3,,41.0,90,No,5493.02
61,Male,21,Data Science,3.15,,7.0,3,71.0,,88,No,
61,Male,21,Data Science,3.15,,7.0,3,71.0,,88,No,
62,Female,22,Data Science,3.86,1.0,,5,51.0,73.0,92,No,6412.38
63,Male,27,Arts,3.59,4.0,7.0,4,89.0,93.0,93,No,
64,Female,24,Engineering,3.3,3.0,5.0,3,77.0,,65,Yes,13679.82
65,Male,20,Arts,2.79,1.0,,1,89.0,58.0,97,Yes,4032.2
65,Male,20,Arts,2.79,1.0,,1,89.0,58.0,97,Yes,4032.2
66,Male,25,Arts,3.87,2.0,1.0,2,76.0,,96,No,
67,Male,25,Computer Science,3.12,1.0,6.0,4,85.0,56.0,80,No,15807.07
68,Male,25,Computer Science,3.29,4.0,6.0,5,87.0,84.0,51,Yes,14073.6
69,Female,22,Engineering,2.47,3.0,7.0,0,66.0,,81,Yes,8551.18
70,Male,28,Arts,3.06,2.0,7.0,5,49.0,76.0,62,Yes,9230.63
71,Male,25,Computer Science,3.35,0.0,2.0,0,66.0,58.0,72,Yes,4133.27
72,Female,26,Arts,2.83,2.0,5.0,3,94.0,76.0,98,Yes,5119.81
73,Female,22,Engineering,2.13,2.0,6.0,3,93.0,66.0,86,Yes,9350.44
74,Female,18,Computer Science,3.2,0.0,2.0,3,,,78,No,16101.66
75,Female,25,Computer Science,3.82,2.0,9.0,4,94.0,83.0,97,Yes,
76,Male,29,Business,2.73,2.0,6.0,3,62.0,61.0,77,Yes,6245.6
77,Male,28,Data Science,2.77,,5.0,3,74.0,58.0,57,No,
78,Male,28,Arts,3.65,0.0,8.0,0,70.0,47.0,64,No,
79,Male,24,Engineering,3.26,1.0,,5,88.0,49.0,72,Yes,15229.88
80,Female,21,Arts,3.72,2.0,1.0,0,79.0,87.0,83,Yes,18794.38
81,Female,22,Arts,2.43,2.0,7.0,5,63.0,81.0,69,Yes,10349.92
82,Male,19,Arts,3.2,4.0,6.0,4,68.0,65.0,89,No,7510.57
83,Male,19,Engineering,2.83,2.0,3.0,4,74.0,91.0,79,No,6942.04
84,Male,25,Data Science,3.6,4.0,1.0,2,55.0,97.0,50,No,16309.23
85,Male,20,Arts,2.96,4.0,2.0,3,,81.0,94,Yes,14090.42
86,Female,28,Computer Science,2.84,,1.0,2,,,45,Yes,19768.21
87,Male,28,Business,2.93,2.0,3.0,5,65.0,44.0,81,Yes,19174.97
88,Female,25,Data Science,3.0,,6.0,0,93.0,46.0,95,Yes,4242.57
89,Female,26,Data Science,2.23,,2.0,2,41.0,76.0,49,Yes,6068.55
90,Male,27,Arts,3.84,,6.0,4,91.0,86.0,42,Yes,5477.61
91,Female,28,Engineering,2.97,3.0,8.0,0,47.0,62.0,97,Yes,
92,Female,22,Data Science,3.31,4.0,3.0,0,43.0,87.0,85,Yes,9836.7
92,Female,22,Data Science,3.31,4.0,3.0,0,43.0,87.0,85,Yes,9836.7
93,Female,22,Business,2.18,0.0,3.0,1,,,67,No,16417.56
93,Female,22,Business,2.18,0.0,3.0,1,,,67,No,16417.56
94,Male,22,Business,2.49,0.0,1.0,0,42.0,88.0,79,Yes,6370.28
95,Female,25,Engineering,2.41,1.0,3.0,2,91.0,77.0,85,Yes,
96,Female,25,Arts,2.18,1.0,7.0,1,70.0,91.0,74,Yes,13715.9
97,Female,27,Business,3.8,3.0,9.0,0,49.0,,41,No,6032.32
98,Male,29,Computer Science,2.67,0.0,8.0,2,88.0,74.0,56,Yes,16761.52
99,Male,27,Business,2.54,2.0,3.0,3,42.0,71.0,43,No,7492.94
100,Male,22,Data Science,2.27,4.0,,4,93.0,91.0,80,Yes,9615.08
100,Male,22,Data Science,2.27,4.0,,4,93.0,91.0,80,Yes,9615.08
101,Female,19,Arts,3.66,,1.0,3,45.0,49.0,91,Yes,8872.02
102,Male,23,Data Science,2.49,2.0,,1,79.0,53.0,98,Yes,19113.47
103,Male,23,Business,2.41,4.0,9.0,5,,40.0,98,Yes,7406.91
104,Female,26,Engineering,2.04,0.0,7.0,2,90.0,86.0,74,Yes,10152.54
105,Female,27,Data Science,3.6,1.0,4.0,0,74.0,95.0,87,Yes,9967.56
106,Female,23,Data Science,2.44,1.0,4.0,1,94.0,,50,Yes,17465.58
107,Male,19,Engineering,3.09,3.0,3.0,4,45.0,89.0,92,Yes,16886.8
108,Female,18,Computer Science,3.32,1.0,5.0,2,84.0,50.0,74,Yes,17504.66
109,Female,24,Business,2.19,,8.0,2,,43.0,45,Yes,
109,Female,24,Business,2.19,,8.0,2,,43.0,45,Yes,
110,Male,18,Engineering,2.67,3.0,3.0,5,70.0,76.0,42,No,7284.23
111,Male,27,Engineering,3.74,4.0,6.0,4,75.0,,80,Yes,6350.75
112,Female,22,Arts,2.7,1.0,4.0,4,52.0,45.0,90,Yes,5018.84
113,Female,24,Data Science,3.0,3.0,3.0,5,52.0,67.0,50,Yes,12715.86
114,Male,28,Business,3.55,,1.0,3,,56.0,59,Yes,9576.45
115,Female,22,Engineering,3.97,0.0,8.0,0,41.0,60.0,88,Yes,
116,Female,23,Business,2.56,2.0,7.0,0,90.0,,45,Yes,
117,Female,21,Data Science,2.2,3.0,7.0,1,84.0,,52,Yes,10869.07
118,Female,22,Data Science,2.58,4.0,8.0,0,90.0,89.0,40,No,3998.84
119,Female,24,Business,3.0,0.0,,5,61.0,45.0,64,Yes,10523.08
120,Female,29,Computer Science,3.82,,3.0,2,48.0,60.0,57,No,19101.28
121,Female,29,Computer Science,2.04,2.0,2.0,0,67.0,61.0,87,Yes,6025.67
122,Male,20,Arts,2.65,3.0,4.0,0,87.0,49.0,96,Yes,
123,Female,23,Business,3.16,4.0,4.0,0,80.0,80.0,59,No,10265.13
124,Female,20,Data Science,3.12,1.0,8.0,1,49.0,43.0,70,No,8597.35
125,Female,22,Arts,3.52,2.0,8.0,2,89.0,56.0,68,No,5561.26
126,Female,21,Engineering,2.03,0.0,7.0,4,61.0,,99,No,
127,Male,20,Data Science,3.49,1.0,5.0,4,57.0,59.0,45,No,
128,Male,28,Arts,2.82,3.0,,2,,,42,Yes,
129,Male,22,Business,3.63,2.0,6.0,3,57.0,65.0,64,No,
130,Female,26,Engineering,3.22,4.0,1.0,0,67.0,76.0,96,Yes,8661.42
131,Female,18,Business,2.01,0.0,2.0,3,68.0,94.0,77,Yes,5597.94
132,Male,24,Business,2.49,,6.0,0,96.0,61.0,65,Yes,10340.75
133,Male,26,Data Science,3.14,4.0,1.0,3,66.0,78.0,45,Yes,
134,Female,28,Computer Science,2.27,,6.0,2,50.0,46.0,56,No,19718.52
135,Female,26,Engineering,3.38,1.0,9.0,1,,96.0,71,No,
136,Male,23,Data Science,2.63,3.0,6.0,1,43.0,80.0,70,No,10777.55
137,Male,24,Computer Science,2.43,0.0,,4,76.0,55.0,91,Yes,
138,Male,23,Business,3.88,2.0,,3,83.0,81.0,55,No,16325.59
139,Female,24,Engineering,2.44,,7.0,4,,,42,No,8995.06
140,Male,18,Computer Science,2.36,2.0,5.0,0,79.0,42.0,91,No,10922.09
141,Female,22,Data Science,2.93,,,4,42.0,94.0,99,Yes,11773.06
142,Female,27,Engineering,2.59,3.0,6.0,3,66.0,44.0,41,Yes,6517.14
143,Male,18,Arts,2.78,0.0,8.0,3,,48.0,49,Yes,5252.2
144,Male,29,Computer Science,3.69,0.0,8.0,3,89.0,54.0,91,No,5627.05
145,Female,26,Arts,3.94,,8.0,0,92.0,,89,No,9188.48
146,Male,18,Data Science,2.33,1.0,6.0,4,41.0,53.0,50,Yes,
147,Female,23,Arts,2.99,2.0,2.0,4,82.0,81.0,50,Yes,6352.47
148,Female,24,Computer Science,3.32,4.0,1.0,5,42.0,89.0,76,Yes,4744.25
149,Female,24,Data Science,2.03,1.0,,4,79.0,98.0,47,Yes,
150,Female,26,Data Science,3.47,4.0,2.0,4,,72.0,43,Yes,9686.81
151,Male,26,Arts,2.84,4.0,7.0,5,69.0,65.0,73,No,
152,Female,22,Engineering,3.29,4.0,2.0,4,52.0,42.0,44,No,15689.16
153,Male,22,Engineering,3.27,0.0,7.0,2,47.0,59.0,58,Yes,12639.54
154,Female,18,Computer Science,2.15,4.0,1.0,2,58.0,,53,No,
155,Male,19,Computer Science,3.53,2.0,6.0,4,84.0,78.0,87,Yes,14663.83
156,Male,27,Engineering,2.47,,8.0,3,90.0,88.0,46,Yes,16902.41
157,Female,18,Engineering,3.7,2.0,4.0,1,64.0,97.0,54,No,12617.74
158,Female,25,Engineering,3.42,,2.0,1,47.0,44.0,97,Yes,12000.69
159,Male,29,Computer Science,3.53,,9.0,2,84.0,,89,No,19440.1
159,Male,29,Computer Science,3.53,,9.0,2,84.0,,89,No,19440.1
160,Female,23,Business,3.83,4.0,6.0,0,75.0,96.0,61,No,10023.02
161,Female,22,Computer Science,2.6,3.0,,0,84.0,59.0,55,No,11923.96
162,Female,25,Engineering,2.22,4.0,5.0,5,68.0,84.0,71,No,
163,Male,20,Business,2.2,1.0,7.0,2,72.0,76.0,71,Yes,
164,Female,21,Data Science,2.23,4.0,,3,65.0,83.0,98,Yes,10111.08
165,Female,23,Computer Science,2.79,3.0,,0,83.0,,77,No,14350.96
166,Female,23,Computer Science,3.59,4.0,5.0,5,,91.0,71,No,3817.74
167,Female,22,Engineering,3.28,3.0,5.0,3,61.0,56.0,47,Yes,17599.46
168,Male,20,Business,3.78,1.0,7.0,4,44.0,48.0,96,Yes,19614.81
169,Male,24,Arts,3.39,4.0,6.0,2,,58.0,76,Yes,
170,Female,27,Arts,3.53,3.0,1.0,1,40.0,,82,Yes,10963.98
171,Female,25,Business,3.43,3.0,,5,88.0,75.0,98,Yes,10705.28
172,Male,27,Arts,3.47,3.0,7.0,2,,,71,Yes,
173,Male,22,Data Science,3.12,3.0,2.0,4,,84.0,98,Yes,
174,Female,28,Data Science,3.91,4.0,9.0,0,88.0,95.0,95,Yes,
175,Male,27,Computer Science,2.6,0.0,,4,60.0,,69,Yes,8386.4
176,Male,24,Arts,3.34,2.0,4.0,4,50.0,70.0,77,No,5339.24
177,Male,23,Engineering,2.46,,3.0,3,41.0,55.0,76,Yes,15367.21
178,Female,25,Computer Science,2.8,0.0,8.0,3,99.0,,42,Yes,9335.94
179,Male,21,Business,2.11,4.0,4.0,1,41.0,,91,Yes,17215.66
180,Female,27,Data Science,2.64,1.0,3.0,0,,63.0,89,Yes,11171.96
181,Female,28,Engineering,2.09,3.0,,5,48.0,88.0,65,No,
182,Male,19,Engineering,2.14,,3.0,5,41.0,55.0,89,Yes,19998.13
183,Male,21,Business,2.92,0.0,,1,75.0,81.0,79,No,16897.92
184,Male,27,Computer Science,2.7,1.0,5.0,1,94.0,65.0,67,Yes,7584.37
184,Male,27,Computer Science,2.7,1.0,5.0,1,94.0,65.0,67,Yes,7584.37
185,Female,21,Computer Science,2.46,0.0,2.0,3,43.0,72.0,71,Yes,4376.88
186,Male,26,Computer Science,2.63,0.0,,5,54.0,77.0,81,Yes,3546.99
186,Male,26,Computer Science,2.63,0.0,,5,54.0,77.0,81,Yes,3546.99
187,Male,21,Business,3.88,,4.0,1,57.0,92.0,44,Yes,16379.95
188,Female,23,Business,3.45,4.0,,1,66.0,63.0,46,Yes,
189,Male,29,Arts,3.54,1.0,8.0,5,95.0,42.0,53,No,7365.7
189,Male,29,Arts,3.54,1.0,8.0,5,95.0,42.0,53,No,7365.7
190,Male,24,Computer Science,2.77,3.0,8.0,3,,63.0,97,Yes,4671.73
191,Female,25,Computer Science,3.31,2.0,1.0,4,,,52,Yes,
192,Male,24,Computer Science,3.3,3.0,5.0,4,82.0,47.0,55,No,
193,Male,23,Data Science,2.88,2.0,2.0,3,47.0,57.0,68,No,7012.24
193,Male,23,Data Science,2.88,2.0,2.0,3,47.0,57.0,68,No,7012.24
194,Female,25,Data Science,3.37,0.0,9.0,2,94.0,44.0,55,Yes,15192.32
195,Male,19,Computer Science,2.63,1.0,,4,58.0,,53,Yes,14047.72
196,Male,19,Computer Science,2.99,2.0,,0,59.0,92.0,79,Yes,8830.01
197,Male,24,Computer Science,2.93,,2.0,3,89.0,86.0,66,Yes,12515.83
198,Male,24,Engineering,3.89,2.0,2.0,2,83.0,97.0,63,Yes,13654.84
199,Female,22,Engineering,3.98,4.0,1.0,1,70.0,,65,Yes,
200,Male,27,Computer Science,2.02,1.0,,1,68.0,45.0,56,Yes,
201,Female,18,Business,3.26,4.0,9.0,5,57.0,,63,Yes,15747.13
202,Female,28,Computer Science,2.89,3.0,2.0,3,81.0,48.0,51,Yes,17529.79
203,Male,27,Arts,2.01,4.0,3.0,5,60.0,45.0,50,Yes,4601.78
204,Male,21,Engineering,3.21,0.0,9.0,1,72.0,69.0,68,Yes,12919.82
205,Male,26,Data Science,2.66,,,3,49.0,84.0,97,No,15395.62
206,Female,23,Data Science,3.4,,6.0,5,52.0,75.0,64,No,
207,Male,21,Business,3.32,3.0,9.0,0,53.0,54.0,43,No,13325.57
207,Male,21,Business,3.32,3.0,9.0,0,53.0,54.0,43,No,13325.57
208,Male,21,Computer Science,2.46,1.0,7.0,1,56.0,49.0,47,Yes,
209,Male,26,Computer Science,2.28,3.0,,5,93.0,56.0,47,No,18026.56
210,Female,25,Arts,2.51,,9.0,0,,84.0,68,No,17096.87
211,Male,18,Data Science,2.26,3.0,4.0,3,72.0,46.0,83,Yes,7280.02
212,Male,19,Engineering,3.17,1.0,3.0,5,51.0,59.0,86,Yes,16505.1
213,Male,25,Engineering,3.24,2.0,9.0,5,94.0,,94,No,5315.12
214,Female,20,Engineering,2.08,1.0,3.0,1,73.0,48.0,83,Yes,16287.19
214,Female,20,Engineering,2.08,1.0,3.0,1,73.0,48.0,83,Yes,16287.19
215,Male,21,Arts,3.38,1.0,1.0,4,48.0,49.0,80,No,14659.65
216,Female,23,Arts,3.74,,3.0,3,97.0,,64,Yes,17044.03
217,Female,29,Computer Science,3.94,2.0,,0,70.0,67.0,49,No,11888.63
218,Female,23,Arts,2.53,0.0,,5,71.0,84.0,61,No,
219,Female,18,Engineering,3.51,3.0,9.0,1,95.0,,43,No,15426.84
220,Male,20,Computer Science,3.05,3.0,,5,41.0,75.0,68,Yes,3981.65
221,Female,23,Arts,2.51,4.0,3.0,4,96.0,46.0,85,Yes,
222,Female,29,Business,2.08,0.0,3.0,2,,67.0,77,Yes,
223,Female,26,Engineering,2.59,2.0,4.0,3,,77.0,69,No,18350.6
224,Female,27,Business,2.78,1.0,7.0,3,82.0,44.0,99,Yes,12350.97
224,Female,27,Business,2.78,1.0,7.0,3,82.0,44.0,99,Yes,12350.97
225,Male,25,Data Science,3.89,,,3,41.0,78.0,75,Yes,
226,Male,27,Business,2.58,2.0,9.0,1,,60.0,83,Yes,7068.0
227,Female,25,Engineering,3.99,,3.0,3,57.0,99.0,65,Yes,10350.95
228,Female,22,Arts,3.83,1.0,7.0,4,64.0,86.0,90,No,11952.36
229,Female,23,Engineering,2.8,4.0,9.0,5,97.0,44.0,61,Yes,8940.65
230,Female,19,Computer Science,2.37,1.0,5.0,4,78.0,77.0,96,No,8780.2
231,Female,26,Computer Science,3.5,1.0,4.0,5,,92.0,83,Yes,5737.33
232,Male,24,Data Science,3.52,3.0,2.0,3,85.0,82.0,45,Yes,5931.03
233,Male,26,Data Science,2.4,,,3,92.0,73.0,73,No,17461.67
233,Male,26,Data Science,2.4,,,3,92.0,73.0,73,No,17461.67
234,Female,22,Engineering,2.58,2.0,3.0,2,,58.0,88,Yes,
235,Female,20,Business,3.65,2.0,3.0,1,65.0,,95,No,10487.33
236,Female,25,Business,3.38,3.0,7.0,5,99.0,96.0,53,Yes,16205.76
237,Male,19,Business,2.99,0.0,6.0,0,98.0,83.0,99,Yes,5546.35
237,Male,19,Business,2.99,0.0,6.0,0,98.0,83.0,99,Yes,5546.35
238,Female,24,Business,2.36,1.0,3.0,3,56.0,66.0,82,Yes,6561.62
239,Male,20,Arts,3.93,1.0,9.0,0,46.0,68.0,61,No,13010.97
240,Male,24,Data Science,3.53,2.0,,5,70.0,96.0,54,Yes,4774.76
240,Male,24,Data Science,3.53,2.0,,5,70.0,96.0,54,Yes,4774.76
241,Male,23,Business,2.14,2.0,8.0,0,50.0,98.0,85,Yes,14389.17
242,Female,28,Computer Science,2.84,,4.0,5,,,88,Yes,8450.81
243,Female,24,Computer Science,2.22,4.0,7.0,3,54.0,73.0,94,Yes,18211.9
244,Female,18,Engineering,3.55,0.0,,0,87.0,65.0,74,Yes,13687.32
245,Male,21,Engineering,3.48,4.0,8.0,4,58.0,,94,No,10508.09
245,Male,21,Engineering,3.48,4.0,8.0,4,58.0,,94,No,10508.09
246,Female,29,Data Science,3.62,,7.0,5,73.0,67.0,42,No,12209.29
247,Male,20,Computer Science,2.17,3.0,,5,83.0,95.0,55,Yes,6873.59
248,Male,29,Business,2.25,3.0,8.0,2,,95.0,86,Yes,
249,Female,20,Arts,2.75,4.0,,1,89.0,45.0,69,Yes,3945.82
250,Female,27,Engineering,2.8,4.0,4.0,2,73.0,78.0,81,Yes,9816.88
251,Female,28,Arts,3.51,4.0,9.0,4,55.0,,90,No,17411.26
252,Male,25,Engineering,3.29,0.0,1.0,2,67.0,49.0,79,Yes,14750.35
253,Female,23,Arts,3.43,3.0,9.0,0,69.0,50.0,55,No,13938.57
254,Female,23,Arts,3.53,0.0,1.0,5,80.0,,56,Yes,19198.46
255,Male,18,Engineering,3.53,,,0,78.0,67.0,74,Yes,18196.29
256,Male,18,Engineering,2.25,1.0,6.0,0,40.0,57.0,82,Yes,10289.33
257,Male,29,Data Science,3.02,1.0,5.0,2,60.0,58.0,99,No,15633.06
257,Male,29,Data Science,3.02,1.0,5.0,2,60.0,58.0,99,No,15633.06
258,Female,27,Business,3.22,2.0,4.0,2,41.0,57.0,41,No,
259,Male,21,Business,2.71,3.0,5.0,0,81.0,74.0,52,Yes,
260,Female,25,Arts,3.22,3.0,7.0,4,94.0,94.0,48,Yes,10575.11
261,Female,19,Data Science,2.46,4.0,,5,82.0,,41,Yes,12829.69
262,Male,28,Engineering,3.84,2.0,,3,95.0,93.0,96,No,
262,Male,28,Engineering,3.84,2.0,,3,95.0,93.0,96,No,
263,Male,26,Engineering,3.1,,9.0,1,81.0,87.0,91,Yes,15645.81
264,Female,20,Arts,3.97,1.0,7.0,4,51.0,73.0,49,Yes,3823.09
265,Female,23,Data Science,3.76,0.0,4.0,0,80.0,,99,Yes,
266,Female,18,Arts,2.65,1.0,8.0,4,52.0,78.0,52,Yes,12353.81
267,Female,19,Business,2.08,0.0,8.0,4,92.0,,73,Yes,13952.75
268,Female,18,Engineering,3.93,0.0,,5,77.0,82.0,55,No,7934.58
269,Male,25,Data Science,2.84,0.0,6.0,5,96.0,,61,Yes,
270,Female,25,Engineering,3.85,1.0,1.0,2,84.0,79.0,81,Yes,11506.91
271,Female,23,Arts,3.63,,9.0,3,53.0,82.0,59,Yes,5180.27
272,Female,29,Data Science,3.26,4.0,9.0,3,49.0,,70,Yes,18224.8
273,Male,26,Business,2.68,,1.0,1,,,56,Yes,12712.09
274,Female,19,Data Science,3.55,0.0,9.0,5,70.0,95.0,53,Yes,14695.14
275,Female,23,Arts,3.05,,1.0,2,,96.0,99,Yes,9122.06
276,Male,24,Engineering,3.18,,2.0,3,91.0,50.0,96,Yes,17552.26
277,Male,25,Arts,2.86,1.0,6.0,3,94.0,51.0,51,No,
278,Male,18,Data Science,2.06,,7.0,1,41.0,96.0,92,Yes,
279,Female,24,Data Science,2.66,,7.0,1,,87.0,82,No,8751.44
280,Female,22,Arts,2.52,0.0,6.0,4,88.0,51.0,91,Yes,18736.31
281,Male,19,Business,2.4,3.0,8.0,3,90.0,84.0,78,No,19472.73
281,Male,19,Business,2.4,3.0,8.0,3,90.0,84.0,78,No,19472.73
282,Male,22,Business,3.1,3.0,8.0,2,,65.0,93,Yes,14276.08
282,Male,22,Business,3.1,3.0,8.0,2,,65.0,93,Yes,14276.08
283,Female,20,Computer Science,2.35,1.0,1.0,4,50.0,61.0,73,Yes,3396.99
284,Male,20,Computer Science,2.43,,9.0,0,76.0,,59,Yes,16710.16
285,Male,19,Engineering,2.47,3.0,4.0,4,71.0,81.0,90,Yes,11403.67
286,Male,18,Engineering,2.95,,4.0,5,,67.0,50,Yes,
287,Female,27,Engineering,3.94,3.0,9.0,3,95.0,65.0,69,No,7342.27
288,Male,29,Engineering,3.02,3.0,,1,51.0,68.0,70,Yes,4351.22
289,Female,19,Computer Science,2.65,4.0,,2,46.0,,44,Yes,17328.7
290,Female,19,Business,3.07,,2.0,1,,79.0,64,Yes,11528.02
291,Female,29,Engineering,3.25,0.0,9.0,0,,90.0,51,Yes,9075.9
292,Male,24,Computer Science,3.24,0.0,3.0,0,93.0,67.0,62,Yes,
293,Female,24,Business,3.44,,6.0,0,77.0,50.0,87,Yes,
294,Female,21,Business,2.92,,3.0,2,75.0,63.0,88,No,3747.88
295,Female,27,Business,3.97,4.0,5.0,5,46.0,87.0,68,No,12202.19
296,Male,24,Computer Science,2.37,0.0,,3,71.0,92.0,61,Yes,6828.03
297,Male,25,Computer Science,2.08,,8.0,3,82.0,45.0,96,No,17240.3
297,Male,25,Computer Science,2.08,,8.0,3,82.0,45.0,96,No,17240.3
298,Male,25,Arts,2.73,1.0,4.0,3,,96.0,58,Yes,
299,Male,29,Arts,2.95,4.0,3.0,0,89.0,81.0,47,No,
300,Female,24,Computer Science,2.24,1.0,,1,,74.0,83,No,13297.52
300,Female,24,Computer Science,2.24,1.0,,1,,74.0,83,No,13297.52
301,Male,19,Engineering,2.82,1.0,7.0,1,,71.0,77,Yes,8685.08
302,Female,27,Business,2.01,,1.0,4,94.0,95.0,67,Yes,
303,Female,21,Arts,2.12,0.0,3.0,1,53.0,78.0,99,No,13044.16
